id,fecha,usuario,email,accion,recurso,resultado,ip
1,2026-01-10 08:15:23,bastian,blandskron@gmail.com,LOGIN,/auth/login,OK,181.72.33.91
2,2026-01-10 08:17:02,carla,carla.mendez@empresa.cl,UPLOAD,/documents/create,OK,192.168.1.14
3,2026-01-10 08:18:44,juan,juan.perez@empresa.cl,UPLOAD,/documents/create,ERROR,190.45.22.10
4,2026-01-10 08:19:10,admin,admin@empresa.cl,DELETE,/documents/delete,OK,127.0.0.1
5,2026-01-10 08:21:55,sofia,sofia.rivera@empresa.cl,DOWNLOAD,/documents/af23d1c4,OK,186.67.120.55
6,2026-01-10 08:23:01,diego,diego.soto@empresa.cl,LOGIN,/auth/login,ERROR,200.54.11.32
7,2026-01-10 08:25:47,carla,carla.mendez@empresa.cl,UPLOAD,/documents/create,OK,192.168.1.14
8,2026-01-10 08:30:12,bastian,blandskron@gmail.com,LOGOUT,/auth/logout,OK,181.72.33.91
9,2026-01-10 08:32:58,admin,admin@empresa.cl,UPDATE,/users/1023,OK,127.0.0.1
10,2026-01-10 08:35:41,sofia,sofia.rivera@empresa.cl,DOWNLOAD,/documents/bb91f20e,ERROR,186.67.120.55
